"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 12 12:40:51 MSK 2023","Sun Feb 12 12:40:56 MSK 2023","4668","tests","Smoke","TestCustomersSQL","","","Create customer",""
"passed","Sun Feb 12 12:40:45 MSK 2023","Sun Feb 12 12:40:48 MSK 2023","3568","tests","Smoke","TestCustomersSQL","","","Select all customers",""
"passed","Sun Feb 12 12:41:00 MSK 2023","Sun Feb 12 12:41:03 MSK 2023","2452","tests","Smoke","TestCustomersSQL","","","Delete customer",""
"passed","Sun Feb 12 12:40:49 MSK 2023","Sun Feb 12 12:40:50 MSK 2023","1899","tests","Smoke","TestCustomersSQL","","","Filter customers",""
"passed","Sun Feb 12 12:40:56 MSK 2023","Sun Feb 12 12:41:00 MSK 2023","3735","tests","Smoke","TestCustomersSQL","","","Update customer",""
